"model","data_gen","dataset_num","leg_deg","llik_stationary","aic_stationary","bic_stationary"
"model_Ycubic_tr100_legd10.RData","Ycubic",95,10,-146.855523805208,313.711047610416,339.762749470297
"model_Ycubic_tr100_legd10.RData","Ycubic",96,10,-140.623384493995,301.24676898799,327.298470847871
"model_Ycubic_tr100_legd10.RData","Ycubic",97,10,-127.097915194506,274.195830389011,300.247532248892
"model_Ycubic_tr100_legd10.RData","Ycubic",98,10,-67.2350357499783,154.470071499957,180.521773359837
"model_Ycubic_tr100_legd10.RData","Ycubic",99,10,-162.96231749733,345.924634994661,371.976336854542
"model_Ycubic_tr100_legd10.RData","Ycubic",100,10,-165.514418615031,351.028837230063,377.080539089943
"model_Ycubic_tr100_legd2.RData","Ycubic",1,2,-109.808580615697,223.617161231393,228.82750160337
"model_Ycubic_tr100_legd2.RData","Ycubic",2,2,-128.746696904441,261.493393808882,266.703734180858
"model_Ycubic_tr100_legd2.RData","Ycubic",3,2,-112.754086830071,229.508173660143,234.718514032119
"model_Ycubic_tr100_legd2.RData","Ycubic",4,2,-138.961076380812,281.922152761624,287.132493133601
"model_Ycubic_tr100_legd2.RData","Ycubic",5,2,-132.775587208702,269.551174417403,274.76151478938
"model_Ycubic_tr100_legd2.RData","Ycubic",6,2,-149.465182595702,302.930365191404,308.14070556338
"model_Ycubic_tr100_legd2.RData","Ycubic",7,2,-150.94969963332,305.899399266639,311.109739638615
"model_Ycubic_tr100_legd2.RData","Ycubic",8,2,-136.536111940558,277.072223881115,282.282564253091
"model_Ycubic_tr100_legd2.RData","Ycubic",9,2,-128.550274546112,261.100549092225,266.310889464201
"model_Ycubic_tr100_legd2.RData","Ycubic",10,2,-160.027862742373,324.055725484747,329.266065856723
"model_Ycubic_tr100_legd2.RData","Ycubic",11,2,-149.394698686545,302.789397373091,307.999737745067
"model_Ycubic_tr100_legd2.RData","Ycubic",12,2,-146.707329990396,297.414659980791,302.625000352768
"model_Ycubic_tr100_legd2.RData","Ycubic",13,2,-150.095077966525,304.190155933049,309.400496305025
"model_Ycubic_tr100_legd2.RData","Ycubic",14,2,-89.6447245558506,183.289449111701,188.499789483677
"model_Ycubic_tr100_legd2.RData","Ycubic",15,2,-154.220019905955,312.440039811909,317.650380183885
"model_Ycubic_tr100_legd2.RData","Ycubic",16,2,-83.6763655185984,171.352731037197,176.563071409173
"model_Ycubic_tr100_legd2.RData","Ycubic",17,2,-131.124781882146,266.249563764292,271.459904136268
"model_Ycubic_tr100_legd2.RData","Ycubic",18,2,-101.757283143556,207.514566287112,212.724906659088
"model_Ycubic_tr100_legd2.RData","Ycubic",19,2,-108.826878544824,221.653757089648,226.864097461624
"model_Ycubic_tr100_legd2.RData","Ycubic",20,2,-87.4159215477675,178.831843095535,184.042183467511
"model_Ycubic_tr100_legd2.RData","Ycubic",21,2,-115.879308328824,235.758616657649,240.968957029625
"model_Ycubic_tr100_legd2.RData","Ycubic",22,2,-94.959173660704,193.918347321408,199.128687693384
"model_Ycubic_tr100_legd2.RData","Ycubic",23,2,-216.906333332538,437.812666665076,443.023007037053
"model_Ycubic_tr100_legd2.RData","Ycubic",24,2,-205.327958446333,414.655916892665,419.866257264641
"model_Ycubic_tr100_legd2.RData","Ycubic",25,2,-189.458254604517,382.916509209035,388.126849581011
"model_Ycubic_tr100_legd2.RData","Ycubic",26,2,-76.0995791697663,156.199158339533,161.409498711509
"model_Ycubic_tr100_legd2.RData","Ycubic",27,2,-134.831298306881,273.662596613762,278.872936985738
"model_Ycubic_tr100_legd2.RData","Ycubic",28,2,-121.824250901677,247.648501803354,252.85884217533
"model_Ycubic_tr100_legd2.RData","Ycubic",29,2,-134.437389034463,272.874778068927,278.085118440903
"model_Ycubic_tr100_legd2.RData","Ycubic",30,2,-104.554276576114,213.108553152227,218.318893524204
"model_Ycubic_tr100_legd2.RData","Ycubic",31,2,-129.415035617979,262.830071235958,268.040411607934
"model_Ycubic_tr100_legd2.RData","Ycubic",32,2,-137.608089890299,279.216179780598,284.426520152574
"model_Ycubic_tr100_legd2.RData","Ycubic",33,2,-132.938089292068,269.876178584135,275.086518956111
"model_Ycubic_tr100_legd2.RData","Ycubic",34,2,-133.052640484953,270.105280969905,275.315621341882
"model_Ycubic_tr100_legd2.RData","Ycubic",35,2,-151.873594740137,307.747189480275,312.957529852251
"model_Ycubic_tr100_legd2.RData","Ycubic",36,2,-128.89281692938,261.78563385876,266.995974230736
"model_Ycubic_tr100_legd2.RData","Ycubic",37,2,-136.643236909709,277.286473819418,282.496814191394
"model_Ycubic_tr100_legd2.RData","Ycubic",38,2,-95.9674226645345,195.934845329069,201.145185701045
"model_Ycubic_tr100_legd2.RData","Ycubic",39,2,-97.3910574385256,198.782114877051,203.992455249027
"model_Ycubic_tr100_legd2.RData","Ycubic",40,2,-137.511820933884,279.023641867768,284.233982239744
"model_Ycubic_tr100_legd2.RData","Ycubic",41,2,-109.983280826641,223.966561653283,229.176902025259
