"model","data_gen","dataset_num","leg_deg","llik","aic","bic"
"model_Ycubic_tr100_legd10.RData","Ycubic",57,10,-37182.5130746707,74385.0261493415,74411.0778512013
"model_Ycubic_tr100_legd10.RData","Ycubic",58,10,-39110.908108808,78241.8162176159,78267.8679194758
"model_Ycubic_tr100_legd10.RData","Ycubic",59,10,-31055.6867752681,62131.3735505363,62157.4252523961
"model_Ycubic_tr100_legd10.RData","Ycubic",60,10,-42017.8284449754,84055.6568899508,84081.7085918107
"model_Ycubic_tr100_legd10.RData","Ycubic",61,10,-54897.8611058152,109815.72221163,109841.77391349
"model_Ycubic_tr100_legd10.RData","Ycubic",62,10,-45460.7755478694,90941.5510957388,90967.6027975987
"model_Ycubic_tr100_legd10.RData","Ycubic",63,10,-39961.2086800286,79942.4173600573,79968.4690619171
"model_Ycubic_tr100_legd10.RData","Ycubic",64,10,-54723.6772131206,109467.354426241,109493.406128101
"model_Ycubic_tr100_legd10.RData","Ycubic",65,10,-48170.8342674051,96361.6685348101,96387.72023667
"model_Ycubic_tr100_legd10.RData","Ycubic",66,10,-44394.2753684957,88808.5507369914,88834.6024388513
"model_Ycubic_tr100_legd10.RData","Ycubic",67,10,-40939.4257135396,81898.8514270792,81924.9031289391
"model_Ycubic_tr100_legd10.RData","Ycubic",68,10,-37050.8722209937,74121.7444419874,74147.7961438473
"model_Ycubic_tr100_legd10.RData","Ycubic",69,10,-57955.5874485974,115931.174897195,115957.226599055
"model_Ycubic_tr100_legd10.RData","Ycubic",70,10,-51566.5602474956,103153.120494991,103179.172196851
"model_Ycubic_tr100_legd10.RData","Ycubic",71,10,-38362.5742348461,76745.1484696922,76771.2001715521
"model_Ycubic_tr100_legd10.RData","Ycubic",72,10,-55173.8896865729,110367.779373146,110393.831075006
"model_Ycubic_tr100_legd10.RData","Ycubic",73,10,-37328.9743048535,74677.9486097071,74704.000311567
"model_Ycubic_tr100_legd10.RData","Ycubic",74,10,-42203.5842331081,84427.1684662161,84453.220168076
"model_Ycubic_tr100_legd10.RData","Ycubic",75,10,-41704.1027025435,83428.205405087,83454.2571069469
"model_Ycubic_tr100_legd10.RData","Ycubic",76,10,-45038.5113237419,90097.0226474837,90123.0743493436
"model_Ycubic_tr100_legd10.RData","Ycubic",77,10,-36654.627573117,73329.2551462339,73355.3068480938
"model_Ycubic_tr100_legd10.RData","Ycubic",78,10,-46380.7215899169,92781.4431798337,92807.4948816936
"model_Ycubic_tr100_legd10.RData","Ycubic",79,10,-50416.8315158529,100853.663031706,100879.714733566
"model_Ycubic_tr100_legd10.RData","Ycubic",80,10,-49725.7212714513,99471.4425429027,99497.4942447626
"model_Ycubic_tr100_legd10.RData","Ycubic",81,10,-41296.2684941383,82612.5369882766,82638.5886901365
"model_Ycubic_tr100_legd10.RData","Ycubic",82,10,-56131.055085811,112282.110171622,112308.161873482
"model_Ycubic_tr100_legd10.RData","Ycubic",83,10,-44025.3693807857,88070.7387615714,88096.7904634313
"model_Ycubic_tr100_legd10.RData","Ycubic",84,10,-54853.9860143264,109727.972028653,109754.023730513
"model_Ycubic_tr100_legd10.RData","Ycubic",85,10,-38749.8366591423,77519.6733182845,77545.7250201444
"model_Ycubic_tr100_legd10.RData","Ycubic",86,10,-47712.7052293577,95445.4104587155,95471.4621605753
"model_Ycubic_tr100_legd10.RData","Ycubic",87,10,-35384.946820305,70789.89364061,70815.9453424699
"model_Ycubic_tr100_legd10.RData","Ycubic",88,10,-37811.6728881205,75643.3457762409,75669.3974781008
"model_Ycubic_tr100_legd10.RData","Ycubic",89,10,-53675.5983130309,107371.196626062,107397.248327922
"model_Ycubic_tr100_legd10.RData","Ycubic",90,10,-43450.8640999666,86921.7281999332,86947.7799017931
"model_Ycubic_tr100_legd10.RData","Ycubic",91,10,-42048.7698096008,84117.5396192017,84143.5913210615
"model_Ycubic_tr100_legd10.RData","Ycubic",92,10,-37452.1300948652,74924.2601897305,74950.3118915903
"model_Ycubic_tr100_legd10.RData","Ycubic",93,10,-53869.5082735365,107759.016547073,107785.068248933
"model_Ycubic_tr100_legd10.RData","Ycubic",94,10,-42126.1859394664,84272.3718789329,84298.4235807927
"model_Ycubic_tr100_legd10.RData","Ycubic",95,10,-43726.4990684428,87472.9981368856,87499.0498387455
"model_Ycubic_tr100_legd10.RData","Ycubic",96,10,-42361.0920534198,84742.1841068397,84768.2358086996
"model_Ycubic_tr100_legd10.RData","Ycubic",97,10,-44875.8618516775,89771.7237033551,89797.775405215
"model_Ycubic_tr100_legd10.RData","Ycubic",98,10,-31674.617091402,63369.2341828041,63395.2858846639
"model_Ycubic_tr100_legd10.RData","Ycubic",99,10,-48587.3557384284,97194.7114768568,97220.7631787167
"model_Ycubic_tr100_legd10.RData","Ycubic",100,10,-53755.2314221262,107530.462844252,107556.514546112
"model_Ycubic_tr100_legd2.RData","Ycubic",1,2,-46616.1600004347,93236.3200008695,93241.5303412415
"model_Ycubic_tr100_legd2.RData","Ycubic",2,2,-47663.7098344153,95331.4196688306,95336.6300092026
"model_Ycubic_tr100_legd2.RData","Ycubic",3,2,-62847.1155615665,125698.231123133,125703.441463505
"model_Ycubic_tr100_legd2.RData","Ycubic",4,2,-58976.5272186287,117957.054437257,117962.264777629
"model_Ycubic_tr100_legd2.RData","Ycubic",5,2,-72265.2134195738,144534.426839148,144539.63717952
"model_Ycubic_tr100_legd2.RData","Ycubic",6,2,-135061.010541921,270126.021083842,270131.231424214
"model_Ycubic_tr100_legd2.RData","Ycubic",7,2,-90608.366483132,181220.732966264,181225.943306636
"model_Ycubic_tr100_legd2.RData","Ycubic",8,2,-52494.018479386,104992.036958772,104997.247299144
"model_Ycubic_tr100_legd2.RData","Ycubic",9,2,-83437.3193237936,166878.638647587,166883.848987959
"model_Ycubic_tr100_legd2.RData","Ycubic",10,2,-47174.8139931686,94353.6279863372,94358.8383267092
"model_Ycubic_tr100_legd2.RData","Ycubic",11,2,-103382.393872497,206768.787744995,206773.998085367
"model_Ycubic_tr100_legd2.RData","Ycubic",12,2,-51485.6449109091,102975.289821818,102980.50016219
"model_Ycubic_tr100_legd2.RData","Ycubic",13,2,-52599.0032866178,105202.006573236,105207.216913608
"model_Ycubic_tr100_legd2.RData","Ycubic",14,2,-68398.2264718535,136800.452943707,136805.663284079
"model_Ycubic_tr100_legd2.RData","Ycubic",15,2,-56127.5848120811,112259.169624162,112264.379964534
"model_Ycubic_tr100_legd2.RData","Ycubic",16,2,-56838.0108245436,113680.021649087,113685.231989459
"model_Ycubic_tr100_legd2.RData","Ycubic",17,2,-46885.269104328,93774.538208656,93779.748549028
"model_Ycubic_tr100_legd2.RData","Ycubic",18,2,-40139.2917320994,80282.5834641989,80287.7938045709
"model_Ycubic_tr100_legd2.RData","Ycubic",19,2,-43855.5628396661,87715.1256793323,87720.3360197042
"model_Ycubic_tr100_legd2.RData","Ycubic",20,2,-43045.8946345666,86095.7892691332,86100.9996095052
"model_Ycubic_tr100_legd2.RData","Ycubic",21,2,-37787.1765121905,75578.3530243809,75583.5633647529
"model_Ycubic_tr100_legd2.RData","Ycubic",22,2,-38090.8786917058,76185.7573834115,76190.9677237835
"model_Ycubic_tr100_legd2.RData","Ycubic",23,2,-89345.7298462918,178695.459692584,178700.670032956
"model_Ycubic_tr100_legd2.RData","Ycubic",24,2,-83019.0955680301,166042.19113606,166047.401476432
"model_Ycubic_tr100_legd2.RData","Ycubic",25,2,-67471.5055135341,134947.011027068,134952.22136744
"model_Ycubic_tr100_legd2.RData","Ycubic",26,2,-45377.1700809139,90758.3401618278,90763.5505021998
"model_Ycubic_tr100_legd2.RData","Ycubic",27,2,-48852.3030159945,97708.606031989,97713.816372361
"model_Ycubic_tr100_legd2.RData","Ycubic",28,2,-63356.9976919623,126717.995383925,126723.205724297
"model_Ycubic_tr100_legd2.RData","Ycubic",29,2,-46233.859170243,92471.718340486,92476.9286808579
"model_Ycubic_tr100_legd2.RData","Ycubic",30,2,-60043.3935390567,120090.787078113,120095.997418485
"model_Ycubic_tr100_legd2.RData","Ycubic",31,2,-65520.8929739053,131045.785947811,131050.996288183
"model_Ycubic_tr100_legd2.RData","Ycubic",32,2,-65126.7788747364,130257.557749473,130262.768089845
"model_Ycubic_tr100_legd2.RData","Ycubic",33,2,-48988.3337833362,97980.6675666723,97985.8779070443
"model_Ycubic_tr100_legd2.RData","Ycubic",34,2,-54069.176580005,108142.35316001,108147.563500382
"model_Ycubic_tr100_legd2.RData","Ycubic",35,2,-57007.7851819215,114019.570363843,114024.780704215
"model_Ycubic_tr100_legd2.RData","Ycubic",36,2,-53721.7700416966,107447.540083393,107452.750423765
"model_Ycubic_tr100_legd2.RData","Ycubic",37,2,-76491.7487037902,152987.49740758,152992.707747952
"model_Ycubic_tr100_legd2.RData","Ycubic",38,2,-37944.9480065849,75893.8960131697,75899.1063535417
"model_Ycubic_tr100_legd2.RData","Ycubic",39,2,-44453.1221568861,88910.2443137723,88915.4546541442
"model_Ycubic_tr100_legd2.RData","Ycubic",40,2,-49252.4578192672,98508.9156385345,98514.1259789064
"model_Ycubic_tr100_legd2.RData","Ycubic",41,2,-61383.4856532558,122770.971306512,122776.181646884
"model_Ycubic_tr100_legd2.RData","Ycubic",42,2,-50391.194466791,100786.388933582,100791.599273954
"model_Ycubic_tr100_legd2.RData","Ycubic",43,2,-108865.959823046,217735.919646091,217741.129986463
"model_Ycubic_tr100_legd2.RData","Ycubic",44,2,-64127.9076124951,128259.81522499,128265.025565362
